Event	ID	Name			Wwise Object Path	Notes
	55290242	stopBigDog_noDelay			\Default Work Unit\stopBigDog_noDelay	
	68125478	collisionTankTrap			\Default Work Unit\collisionTankTrap	
	555737691	UI_confirmMenu			\Default Work Unit\UI_confirmMenu	
	690362850	droneSpawn			\Default Work Unit\droneSpawn	
	718394488	playTitleMusic			\Default Work Unit\playTitleMusic	
	823393987	destroyDrone_explode			\Default Work Unit\destroyDrone_explode	
	1088977592	destroyDrone_spinout			\Default Work Unit\destroyDrone_spinout	
	1637104820	UI_tiltAlertLeft			\Default Work Unit\UI_tiltAlertLeft	
	1639539297	UI_obstacleAlert			\Default Work Unit\UI_obstacleAlert	
	2037222792	collisionBarbedWire			\Default Work Unit\collisionBarbedWire	
	2195046349	stopBigDog			\Default Work Unit\stopBigDog	
	2229533828	bagJostle			\Default Work Unit\bagJostle	
	2273201524	playTiltAlert			\Default Work Unit\playTiltAlert	
	2687191769	droneAttack			\Default Work Unit\droneAttack	
	3497004131	UI_selectMenu			\Default Work Unit\UI_selectMenu	
	3499504239	startBigDog			\Default Work Unit\startBigDog	
	3529644627	UI_tiltAlertRight			\Default Work Unit\UI_tiltAlertRight	
	3926176201	collisionLandmine			\Default Work Unit\collisionLandmine	
	3938763508	playDesertAmb			\Default Work Unit\playDesertAmb	

Switch Group	ID	Name			Wwise Object Path	Notes
	3733145084	DroneState			\Default Work Unit\DroneState	

Switch	ID	Name	Switch Group			Notes
	655265632	Alive	DroneState			
	2044049779	Dead	DroneState			

State Group	ID	Name			Wwise Object Path	Notes
	268529915	Engine			\Default Work Unit\Engine	

State	ID	Name	State Group			Notes
	748895195	None	Engine			
	2904797076	Stopped	Engine			
	3863236874	Running	Engine			

Custom State	ID	Name	State Group	Owner		Notes
	721019617	Stopped	Engine	\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_02		
	1033999320	Stopped	Engine	\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_01		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	
	2127427523	Tilt_Amount			\Default Work Unit\Tilt_Amount	
	3395678809	BigDog_Speed			\Default Work Unit\BigDog_Speed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3288627	drone_flyingLoop_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_flyingLoop_01_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_flyingLoop_01		919780
	16888839	ui_tiltAlert_alarm_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\ui_tiltAlert_alarm_01_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\tiltAlertSwitch\ui_tiltAlertLeft_Loop\ui_tiltAlertLeft\ui_tiltAlert_alarm_01		297144
	23351845	titleMusic_chorus_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_chorus_01_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusic_transition_Chorus\titleMusic_chorus_01		7078016
	40922257	bag_jostle_03	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bag_jostle_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\bag_jostle\bag_jostle_03		177124
	47198582	titleMusic_build_01_incl_transition_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\titleMusic_build_01_incl_transition_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\titleMusic_build_01_incl_transition\titleMusic_build_01_incl_transition_01		4709368
	59124147	drone_engineWhineLoop_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_engineWhineLoop_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_engineWhine\drone_engineWhineLoop_02		1315636
	166559222	bigDog_collision_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_collision_01_2BC3BF71.wem		\Actor-Mixer Hierarchy\Default Work Unit\Obstacles\collisionTankTrap\bigDog_collision_01		81480
	174721331	bigDog_engineLoop_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\bigDog_engineLoop_02_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\BigDog\engine\engineSwitch\bigDog_engineLoop_02		1455652
	256140889	ui_obstacleAlert_01	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\ui_obstacleAlert_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui_obstacleAlert_01		65580
	291305715	drone_death_impact_02	Y:\Repositories\ld34\New Unity Project\Wwise\.cache\Windows\SFX\drone_death_impact_02_886ABC86.wem		\Actor-Mixer Hierarchy\Default Work Unit\Drones\droneSwitch\drone_deathImpact\drone_death_impact_02		121424
